,Type,Date,Ticker,Position,Price,PnL,ROE,Trade_Length,Cumm,DD
137,BUY ORDER,03-03-2016,MICR.BO,1,39.0,,,,,
138,BUY ORDER,04-03-2016,MICR.BO,1,39.0,,,,,
139,BUY ORDER,08-03-2016,MICR.BO,1,39.0,,,,,
140,BUY ORDER,09-03-2016,MICR.BO,1,39.0,,,,,
141,BUY ORDER,10-03-2016,MICR.BO,1,39.0,,,,,
142,BUY ORDER,11-03-2016,MICR.BO,1,39.0,,,,,
143,BUY ORDER,14-03-2016,MICR.BO,1,39.0,,,,,
144,BUY ORDER,15-03-2016,MICR.BO,1,39.0,,,,,
145,BUY ORDER,16-03-2016,MICR.BO,1,39.0,,,,,
146,BUY ORDER,17-03-2016,MICR.BO,1,39.0,,,,,
147,BUY ORDER,18-03-2016,MICR.BO,1,39.0,,,,,
148,BUY ORDER,21-03-2016,MICR.BO,1,39.0,,,,,
149,BUY ORDER,22-03-2016,MICR.BO,1,39.0,,,,,
150,BUY ORDER,23-03-2016,MICR.BO,1,39.0,,,,,
151,BUY ORDER,28-03-2016,MICR.BO,1,39.0,,,,,
152,BUY ORDER,29-03-2016,MICR.BO,1,39.0,,,,,
153,BUY ORDER,30-03-2016,MICR.BO,1,39.0,,,,,
154,BUY ORDER,31-03-2016,MICR.BO,1,39.0,,,,,
155,BUY ORDER,01-04-2016,MICR.BO,1,39.0,,,,,
156,BUY ORDER,04-04-2016,MICR.BO,1,39.0,,,,,
157,BUY ORDER,05-04-2016,MICR.BO,1,39.0,,,,,
158,BUY ORDER,06-04-2016,MICR.BO,1,39.0,,,,,
159,BUY ORDER,07-04-2016,MICR.BO,1,39.0,,,,,
160,BUY ORDER,08-04-2016,MICR.BO,1,39.0,,,,,
161,BUY ORDER,11-04-2016,MICR.BO,1,39.0,,,,,
162,BUY ORDER,12-04-2016,MICR.BO,1,39.0,,,,,
163,BUY ORDER,13-04-2016,MICR.BO,1,39.0,,,,,
164,BUY ORDER,18-04-2016,MICR.BO,1,39.0,,,,,
165,BUY ORDER,20-04-2016,MICR.BO,1,39.0,,,,,
166,BUY ORDER,21-04-2016,MICR.BO,1,39.0,,,,,
167,BUY ORDER,22-04-2016,MICR.BO,1,39.0,,,,,
168,BUY ORDER,25-04-2016,MICR.BO,1,39.0,,,,,
169,BUY ORDER,26-04-2016,MICR.BO,1,39.0,,,,,
170,BUY ORDER,27-04-2016,MICR.BO,1,39.0,,,,,
171,BUY ORDER,28-04-2016,MICR.BO,1,39.0,,,,,
172,BUY ORDER,29-04-2016,MICR.BO,1,39.0,,,,,
173,BUY ORDER,02-05-2016,MICR.BO,1,39.0,,,,,
174,BUY ORDER,03-05-2016,MICR.BO,1,39.0,,,,,
175,BUY ORDER,04-05-2016,MICR.BO,1,39.0,,,,,
176,BUY ORDER,05-05-2016,MICR.BO,1,36.0,,,,,
177,BUY ORDER,06-05-2016,MICR.BO,1,36.0,,,,,
178,BUY ORDER,09-05-2016,MICR.BO,1,36.0,,,,,
179,BUY ORDER,10-05-2016,MICR.BO,1,36.0,,,,,
180,BUY ORDER,11-05-2016,MICR.BO,1,36.0,,,,,
181,BUY ORDER,12-05-2016,MICR.BO,1,36.0,,,,,
182,BUY ORDER,13-05-2016,MICR.BO,1,36.0,,,,,
183,BUY ORDER,16-05-2016,MICR.BO,1,36.0,,,,,
184,BUY ORDER,17-05-2016,MICR.BO,1,36.0,,,,,
185,BUY ORDER,18-05-2016,MICR.BO,1,36.0,,,,,
186,BUY ORDER,19-05-2016,MICR.BO,1,36.0,,,,,
187,BUY ORDER,20-05-2016,MICR.BO,1,36.0,,,,,
188,BUY ORDER,23-05-2016,MICR.BO,1,36.0,,,,,
189,BUY ORDER,24-05-2016,MICR.BO,1,36.0,,,,,
190,BUY ORDER,25-05-2016,MICR.BO,1,36.0,,,,,
191,BUY ORDER,26-05-2016,MICR.BO,1,36.0,,,,,
192,BUY ORDER,27-05-2016,MICR.BO,1,36.0,,,,,
193,BUY ORDER,30-05-2016,MICR.BO,1,36.0,,,,,
194,BUY ORDER,31-05-2016,MICR.BO,1,36.0,,,,,
195,BUY ORDER,01-06-2016,MICR.BO,1,36.0,,,,,
196,BUY ORDER,02-06-2016,MICR.BO,1,36.0,,,,,
197,BUY ORDER,03-06-2016,MICR.BO,1,36.0,,,,,
198,BUY ORDER,06-06-2016,MICR.BO,1,36.0,,,,,
199,BUY ORDER,07-06-2016,MICR.BO,1,36.0,,,,,
200,BUY ORDER,08-06-2016,MICR.BO,1,36.0,,,,,
201,BUY ORDER,09-06-2016,MICR.BO,1,36.0,,,,,
202,BUY ORDER,10-06-2016,MICR.BO,1,36.0,,,,,
203,BUY ORDER,13-06-2016,MICR.BO,1,36.0,,,,,
204,BUY ORDER,14-06-2016,MICR.BO,1,36.0,,,,,
205,BUY ORDER,15-06-2016,MICR.BO,1,36.0,,,,,
206,BUY ORDER,16-06-2016,MICR.BO,1,36.0,,,,,
207,BUY ORDER,17-06-2016,MICR.BO,1,36.0,,,,,
208,BUY ORDER,20-06-2016,MICR.BO,1,36.0,,,,,
209,BUY ORDER,21-06-2016,MICR.BO,1,36.0,,,,,
210,BUY ORDER,22-06-2016,MICR.BO,1,36.0,,,,,
211,BUY ORDER,23-06-2016,MICR.BO,1,36.0,,,,,
212,BUY ORDER,24-06-2016,MICR.BO,1,36.0,,,,,
213,BUY ORDER,27-06-2016,MICR.BO,1,36.0,,,,,
214,BUY ORDER,28-06-2016,MICR.BO,1,36.0,,,,,
215,BUY ORDER,29-06-2016,MICR.BO,1,36.0,,,,,
216,BUY ORDER,30-06-2016,MICR.BO,1,36.0,,,,,
217,BUY ORDER,01-07-2016,MICR.BO,1,36.0,,,,,
218,BUY ORDER,04-07-2016,MICR.BO,1,36.0,,,,,
219,BUY ORDER,05-07-2016,MICR.BO,1,36.0,,,,,
220,BUY ORDER,07-07-2016,MICR.BO,1,36.0,,,,,
221,BUY ORDER,08-07-2016,MICR.BO,1,36.0,,,,,
222,BUY ORDER,11-07-2016,MICR.BO,1,36.0,,,,,
223,BUY ORDER,12-07-2016,MICR.BO,1,36.0,,,,,
224,BUY ORDER,13-07-2016,MICR.BO,1,36.0,,,,,
225,BUY ORDER,14-07-2016,MICR.BO,1,36.0,,,,,
226,BUY ORDER,15-07-2016,MICR.BO,1,36.0,,,,,
227,BUY ORDER,18-07-2016,MICR.BO,1,36.0,,,,,
228,BUY ORDER,19-07-2016,MICR.BO,1,36.0,,,,,
229,BUY ORDER,20-07-2016,MICR.BO,1,36.0,,,,,
230,BUY ORDER,21-07-2016,MICR.BO,1,36.0,,,,,
231,BUY ORDER,22-07-2016,MICR.BO,1,36.0,,,,,
232,BUY ORDER,25-07-2016,MICR.BO,1,36.0,,,,,
233,BUY ORDER,26-07-2016,MICR.BO,1,36.0,,,,,
234,BUY ORDER,27-07-2016,MICR.BO,1,36.0,,,,,
235,BUY ORDER,28-07-2016,MICR.BO,1,36.0,,,,,
236,BUY ORDER,29-07-2016,MICR.BO,1,36.0,,,,,
237,BUY ORDER,01-08-2016,MICR.BO,1,36.0,,,,,
238,BUY ORDER,02-08-2016,MICR.BO,1,36.0,,,,,
239,BUY ORDER,03-08-2016,MICR.BO,1,36.0,,,,,
240,BUY ORDER,04-08-2016,MICR.BO,1,36.0,,,,,
241,BUY ORDER,05-08-2016,MICR.BO,1,36.0,,,,,
242,BUY ORDER,08-08-2016,MICR.BO,1,36.0,,,,,
243,BUY TRADE,09-08-2016,MICR.BO,1,42.6,,,,,
244,SELL ORDER,09-08-2016,MICR.BO,-1,28.0,,,,,
245,SELL ORDER,10-08-2016,MICR.BO,-1,28.0,,,,,
246,SELL ORDER,11-08-2016,MICR.BO,-1,28.0,,,,,
247,SELL ORDER,12-08-2016,MICR.BO,-1,28.0,,,,,
248,SELL ORDER,16-08-2016,MICR.BO,-1,28.0,,,,,
249,SELL ORDER,17-08-2016,MICR.BO,-1,28.0,,,,,
250,SELL ORDER,18-08-2016,MICR.BO,-1,28.0,,,,,
251,SELL ORDER,19-08-2016,MICR.BO,-1,28.0,,,,,
252,SELL ORDER,22-08-2016,MICR.BO,-1,28.0,,,,,
253,SELL ORDER,23-08-2016,MICR.BO,-1,28.0,,,,,
254,SELL ORDER,24-08-2016,MICR.BO,-1,28.0,,,,,
255,SELL ORDER,25-08-2016,MICR.BO,-1,28.0,,,,,
256,SELL ORDER,26-08-2016,MICR.BO,-1,28.0,,,,,
257,SELL ORDER,29-08-2016,MICR.BO,-1,28.0,,,,,
258,SELL ORDER,30-08-2016,MICR.BO,-1,28.0,,,,,
259,SELL ORDER,31-08-2016,MICR.BO,-1,28.0,,,,,
260,SELL ORDER,01-09-2016,MICR.BO,-1,28.0,,,,,
261,SELL ORDER,02-09-2016,MICR.BO,-1,28.0,,,,,
262,SELL ORDER,06-09-2016,MICR.BO,-1,28.0,,,,,
263,SELL ORDER,07-09-2016,MICR.BO,-1,28.0,,,,,
264,SELL ORDER,08-09-2016,MICR.BO,-1,28.0,,,,,
265,SELL ORDER,09-09-2016,MICR.BO,-1,28.0,,,,,
266,SELL ORDER,12-09-2016,MICR.BO,-1,28.0,,,,,
267,SELL ORDER,14-09-2016,MICR.BO,-1,28.0,,,,,
268,SELL ORDER,15-09-2016,MICR.BO,-1,28.0,,,,,
269,SELL ORDER,16-09-2016,MICR.BO,-1,36.25,,,,,
270,SELL ORDER,19-09-2016,MICR.BO,-1,36.25,,,,,
271,SELL TRADE,20-09-2016,MICR.BO,-1,36.25,,,,,
272,HISAB,20-09-2016,MICR.BO,LONG,37.55,-6.35,-11.85,27.0,-9.1,6.75
273,BUY ORDER,20-09-2016,MICR.BO,1,44.4,,,,,
274,BUY ORDER,21-09-2016,MICR.BO,1,44.4,,,,,
275,BUY ORDER,22-09-2016,MICR.BO,1,44.4,,,,,
276,BUY ORDER,23-09-2016,MICR.BO,1,44.4,,,,,
277,BUY ORDER,26-09-2016,MICR.BO,1,44.4,,,,,
278,BUY ORDER,27-09-2016,MICR.BO,1,44.4,,,,,
279,BUY ORDER,28-09-2016,MICR.BO,1,44.4,,,,,
280,BUY ORDER,29-09-2016,MICR.BO,1,44.4,,,,,
281,BUY ORDER,30-09-2016,MICR.BO,1,44.4,,,,,
282,BUY ORDER,03-10-2016,MICR.BO,1,44.4,,,,,
283,BUY ORDER,04-10-2016,MICR.BO,1,44.4,,,,,
284,BUY ORDER,05-10-2016,MICR.BO,1,44.4,,,,,
285,BUY ORDER,06-10-2016,MICR.BO,1,44.4,,,,,
286,BUY ORDER,07-10-2016,MICR.BO,1,44.4,,,,,
287,BUY ORDER,10-10-2016,MICR.BO,1,39.75,,,,,
288,BUY ORDER,13-10-2016,MICR.BO,1,39.75,,,,,
289,BUY ORDER,14-10-2016,MICR.BO,1,39.75,,,,,
290,BUY ORDER,17-10-2016,MICR.BO,1,39.75,,,,,
291,BUY ORDER,18-10-2016,MICR.BO,1,39.75,,,,,
292,BUY TRADE,19-10-2016,MICR.BO,1,39.75,,,,,
293,SELL ORDER,19-10-2016,MICR.BO,-1,33.3,,,,,
294,SELL ORDER,20-10-2016,MICR.BO,-1,33.3,,,,,
295,SELL ORDER,21-10-2016,MICR.BO,-1,33.3,,,,,
296,SELL ORDER,24-10-2016,MICR.BO,-1,33.3,,,,,
297,SELL ORDER,25-10-2016,MICR.BO,-1,33.3,,,,,
298,SELL ORDER,26-10-2016,MICR.BO,-1,33.3,,,,,
299,SELL ORDER,27-10-2016,MICR.BO,-1,33.3,,,,,
300,SELL ORDER,28-10-2016,MICR.BO,-1,33.3,,,,,
301,SELL ORDER,30-10-2016,MICR.BO,-1,38.1,,,,,
302,SELL ORDER,01-11-2016,MICR.BO,-1,38.1,,,,,
303,SELL ORDER,02-11-2016,MICR.BO,-1,38.1,,,,,
304,SELL ORDER,03-11-2016,MICR.BO,-1,38.1,,,,,
305,SELL ORDER,04-11-2016,MICR.BO,-1,38.1,,,,,
306,SELL ORDER,07-11-2016,MICR.BO,-1,38.1,,,,,
307,SELL ORDER,08-11-2016,MICR.BO,-1,38.1,,,,,
308,SELL TRADE,09-11-2016,MICR.BO,-1,38.1,,,,,
309,HISAB,09-11-2016,MICR.BO,LONG,39.0,-1.65,-1.89,15.0,-10.75,8.4
310,BUY ORDER,09-11-2016,MICR.BO,1,47.0,,,,,
311,BUY ORDER,10-11-2016,MICR.BO,1,47.0,,,,,
312,BUY ORDER,11-11-2016,MICR.BO,1,47.0,,,,,
313,BUY ORDER,15-11-2016,MICR.BO,1,47.0,,,,,
314,BUY ORDER,16-11-2016,MICR.BO,1,47.0,,,,,
315,BUY ORDER,17-11-2016,MICR.BO,1,47.0,,,,,
316,BUY ORDER,18-11-2016,MICR.BO,1,47.0,,,,,
317,BUY ORDER,21-11-2016,MICR.BO,1,47.0,,,,,
318,BUY ORDER,22-11-2016,MICR.BO,1,47.0,,,,,
319,BUY ORDER,23-11-2016,MICR.BO,1,47.0,,,,,
320,BUY ORDER,24-11-2016,MICR.BO,1,47.0,,,,,
321,BUY ORDER,25-11-2016,MICR.BO,1,47.0,,,,,
322,BUY ORDER,28-11-2016,MICR.BO,1,47.0,,,,,
323,BUY ORDER,29-11-2016,MICR.BO,1,47.0,,,,,
324,BUY ORDER,30-11-2016,MICR.BO,1,47.0,,,,,
325,BUY ORDER,01-12-2016,MICR.BO,1,47.0,,,,,
326,BUY ORDER,02-12-2016,MICR.BO,1,47.0,,,,,
327,BUY ORDER,05-12-2016,MICR.BO,1,47.0,,,,,
328,BUY ORDER,06-12-2016,MICR.BO,1,47.0,,,,,
329,BUY ORDER,07-12-2016,MICR.BO,1,47.0,,,,,
330,BUY ORDER,08-12-2016,MICR.BO,1,47.0,,,,,
331,BUY ORDER,09-12-2016,MICR.BO,1,47.0,,,,,
332,BUY ORDER,12-12-2016,MICR.BO,1,47.0,,,,,
333,BUY ORDER,13-12-2016,MICR.BO,1,47.0,,,,,
334,BUY ORDER,14-12-2016,MICR.BO,1,47.0,,,,,
335,BUY ORDER,15-12-2016,MICR.BO,1,47.0,,,,,
336,BUY ORDER,16-12-2016,MICR.BO,1,47.0,,,,,
337,BUY ORDER,19-12-2016,MICR.BO,1,47.0,,,,,
338,BUY ORDER,20-12-2016,MICR.BO,1,47.0,,,,,
339,BUY ORDER,21-12-2016,MICR.BO,1,47.0,,,,,
340,BUY ORDER,22-12-2016,MICR.BO,1,47.0,,,,,
341,BUY ORDER,23-12-2016,MICR.BO,1,47.0,,,,,
342,BUY ORDER,26-12-2016,MICR.BO,1,47.0,,,,,
343,BUY ORDER,27-12-2016,MICR.BO,1,47.0,,,,,
344,BUY ORDER,28-12-2016,MICR.BO,1,47.0,,,,,
345,BUY ORDER,29-12-2016,MICR.BO,1,47.0,,,,,
346,BUY ORDER,30-12-2016,MICR.BO,1,47.0,,,,,
347,BUY ORDER,02-01-2017,MICR.BO,1,47.0,,,,,
348,BUY ORDER,03-01-2017,MICR.BO,1,47.0,,,,,
349,BUY ORDER,04-01-2017,MICR.BO,1,47.0,,,,,
350,BUY ORDER,05-01-2017,MICR.BO,1,47.0,,,,,
351,BUY ORDER,06-01-2017,MICR.BO,1,47.0,,,,,
352,BUY ORDER,09-01-2017,MICR.BO,1,47.0,,,,,
353,BUY ORDER,10-01-2017,MICR.BO,1,47.0,,,,,
354,BUY ORDER,11-01-2017,MICR.BO,1,47.0,,,,,
355,BUY ORDER,12-01-2017,MICR.BO,1,47.0,,,,,
